structure_id,structure_hash,provenance,source_file,source_group,frame_index,raw_source_family,scientific_domain,natoms,N_Si,N_O,O_over_Si,oxygen_deficiency_x,DFT_label,overlap_PC004,disposition,student_eligible,generator_model
corpus:00000,2c1149c248966d2e,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,bulk_cryst,0,bulk_cryst,AMBIENT_CRYSTAL,108,36,72,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:00009,128a1fb3012caead,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,bulk_cryst,9,bulk_cryst,AMBIENT_CRYSTAL,108,36,72,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:00018,06508e78065b7295,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,bulk_cryst,18,bulk_cryst,AMBIENT_CRYSTAL,108,36,72,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:00026,f767c81c0b12667c,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,bulk_cryst,26,bulk_cryst,AMBIENT_CRYSTAL,108,36,72,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:00035,42d4e06a9f01da94,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,bulk_cryst,35,bulk_cryst,AMBIENT_CRYSTAL,108,36,72,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:00044,7c8b17148c9888ef,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,bulk_cryst,44,bulk_cryst,AMBIENT_CRYSTAL,108,36,72,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:00053,ab7c263bb0adba0d,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,bulk_cryst,53,bulk_cryst,AMBIENT_CRYSTAL,108,36,72,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:00061,cf9cf11243a2b7b1,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,bulk_cryst,61,bulk_cryst,AMBIENT_CRYSTAL,108,36,72,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:00070,dd92ecb049896dcd,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,bulk_cryst,70,bulk_cryst,AMBIENT_CRYSTAL,108,36,72,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
corpus:00079,d6c6c467289c37f3,ORIGINAL_TEACHER_CORPUS,03_allegro_train/dataset.xyz,bulk_cryst,79,bulk_cryst,AMBIENT_CRYSTAL,108,36,72,2.0,0.0,True,False,STUDENT_DISTILLATION_CANDIDATE,True,VASP_DFT
